Reference, Value, Footprint, Datasheet, FN, Family, MFR, PN, VENDOR, VSN, Value
D24,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
S3,SW_PUSH,,,55,SWI,E-SWITCH,TL3300DF160Q,Digikey,EG4906CT-ND,BUTTON
D26,1N4148,Diodes_SMD:SOD-123,,13,SEM,FAIRCHILD SEMI,MMBD4148,Digikey,MMBD4148FSCT,1N4148
S1,SW_NAVI,,,54,SWI,E-SWITCH,JS5208,Digikey,EG4561-ND,JOYSTICK
DS1,LCD-4x20,,,57,ASY,NEWHAVEN DISPLAY,NHD-0420AZ-FL-YBW-33V3,Digikey,NHD-0420AZ-FL-YBW-33V3-ND,LCD-4x20
LS1,BUZZER,,,23,BUZ,CUI-STACK,CSS-0575A-SMT,Digikey,102-2201-1-ND,BUZZER
Q17,2N3904,,,16,SEM,DIODES INC,MMBT3904-7-F,Digikey,MMBT3904-FDICT-ND,2N3904
R68,1K,Resistors_SMD:R_0805,,33,RES,ROHM,MCR10ERTF1001,Digikey,RHM1.00KCHCT-ND,1.00K
R98,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
R99,4.7K,Resistors_SMD:R_0805,,35,RES,ROHM,MCR10ERTF4751,Digikey,RHM4.75KCHCT-ND,4.75K
C51,0.1uF,Capacitors_SMD:C_0805,,25,CAP,KEMET,C0805C104K5RACTU,Digikey,399-1170-1-ND,0.1uF
U22,PIC16F1847,Housings_SSOP:SSOP-20_5.3x7.2mm_Pitch0.65mm,,2,IC,MICROCHIP,PIC16F1847-I/SS,Digikey,PIC16F1847-I/SS-ND,PIC16F1847
R69,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
C19,0.47uF,Capacitors_SMD:C_0805,,26,CAP,KEMET,C0805C474K5RACTU,Digikey,399-8100-1-ND,0.47uF
D29,BAT54,,,14,SEM,DIODES INC,BAT54-7-F,Digikey,BAT54-FDICT-ND,BAT54
R70,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
R71,10K,Resistors_SMD:R_0805,,36,RES,ROHM,MCR10ERTF1002,Digikey,RHM10.0KCHCT-ND,10.0K
D28,BAT54,,,14,SEM,DIODES INC,BAT54-7-F,Digikey,BAT54-FDICT-ND,BAT54
